Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",No,"[118, 205]",Function,"__libc_clntudp_bufcreate(struct sockaddr_in *,u_long,u_long,struct timeval,int *,u_int,u_int,int)",sunrpc/clnt_udp.c,,,,2,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,88,2,79,13,55,1,4,2,46,36,47,55,6,0,49,9,9,10,7,11,,,,,11,,2,11,,0.01,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Yes,,File,clnt_udp.c,sunrpc/clnt_udp.c,3,42,6,40,484,112,7,5,8,5,50,2,37,6,,,,0,,,,,,10,,,,,,,,,,,,,,628,38,401,110,247,112,55,32,,,203,267,61,3,203,,,,,,24,23,32,19,,,4,,,0.28,65,47,76,51
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,clntudp_abort(),sunrpc/clnt_udp.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,"clntudp_call(CLIENT *,u_long,xdrproc_t,caddr_t,xdrproc_t,caddr_t,struct timeval)",sunrpc/clnt_udp.c,,,,11,199,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,239,9,152,28,93,37,47,2,37,204,68,91,15,3,73,24,23,32,19,60,,,,,60,,4,59,,0.24,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,"clntudp_control(CLIENT *,int,char *)",sunrpc/clnt_udp.c,,,,1,71,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,92,1,71,10,63,20,0,0,8,15,45,64,3,0,61,19,2,19,15,119,,,,,119,,1,119,,0.28,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,clntudp_destroy(CLIENT *),sunrpc/clnt_udp.c,,,,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,1,12,3,6,0,0,0,3,4,6,8,1,0,7,4,4,4,1,0,,,,,0,,2,0,,0.00,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,"clntudp_freeres(CLIENT *,xdrproc_t,caddr_t)",sunrpc/clnt_udp.c,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,1,8,4,4,0,0,0,2,1,4,4,2,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Static Function,"clntudp_geterr(CLIENT *,struct rpc_err *)",sunrpc/clnt_udp.c,,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,1,6,3,2,0,0,0,1,1,2,2,1,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",No,"[85, 100]",Struct,cu_data,sunrpc/clnt_udp.c,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,,0,0,,,,,0,13,0,0,13,0,0,0,0,0,0,0,,16,0,16,14,0,0,0,0,,,,13,13,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
17,Yes,Yes,963394a22b38c4ec92b6875a6c06d3b15d5c0d21,"[""CVE-2017-12133""]",Unknown,,Function,"libc_hidden_nolink_sunrpc(,)",sunrpc/clnt_udp.c,,,,1,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,9,6,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
